adduser	3.152
apparmor	4.1.0-1
apt	3.0.3
apt-listchanges	4.8
apt-utils	3.0.3
base-files	13.8+deb13u6
base-passwd	3.6.7
bash	5.2.37-2+b9
bash-completion	1:2.16.0-7
bind9-host	1:9.20.23-1~deb13u1
bind9-libs:arm64	1:9.20.23-1~deb13u1
binfmt-support	2.2.2-7+b1
binutils	2.44-3
binutils-aarch64-linux-gnu	2.44-3
binutils-common:arm64	2.44-3
bsdextrautils	2.41-5
bsdutils	1:2.41-5
build-essential	12.12
bzip2	1.0.8-6
ca-certificates	20250419
clang	1:19.0-63
clang-19	1:19.1.7-3+b1
cloud-guest-utils	0.33-1
cloud-image-utils	0.33-1
cloud-init	25.1.4-1+deb13u1
cloud-initramfs-growroot	0.18.debian14
cloud-utils	0.33-1
cmake	3.31.6-2
cmake-data	3.31.6-2
containerd	1.7.24~ds1-6+deb13u1
coreutils	9.7-3
cpio	2.15+dfsg-2
cpp	4:14.2.0-1
cpp-14	14.2.0-19
cpp-14-aarch64-linux-gnu	14.2.0-19
cpp-aarch64-linux-gnu	4:14.2.0-1
curl	8.14.1-2+deb13u4
dash	0.5.12-12
dbus	1.16.2-2
dbus-bin	1.16.2-2
dbus-daemon	1.16.2-2
dbus-session-bus-common	1.16.2-2
dbus-system-bus-common	1.16.2-2
debconf	1.5.91
debian-archive-keyring	2025.1
debianutils	5.23.2
dhcpcd-base	1:10.1.0-11+deb13u3
diffutils	1:3.10-4
distro-info-data	0.66+deb13u2
dmsetup	2:1.02.205-2
docker-cli	26.1.5+dfsg1-9+deb13u1
docker.io	26.1.5+dfsg1-9+deb13u1
dosfstools	4.2-1.2
dpkg	1.22.22
dpkg-dev	1.22.22
dracut-install	106-6
e2fsprogs	1.47.2-3+b11
eject	2.41-5
ethtool	1:6.14.2-1
fdisk	2.41-5
file	1:5.46-5
findutils	4.10.0-3
g++	4:14.2.0-1
g++-14	14.2.0-19
g++-14-aarch64-linux-gnu	14.2.0-19
g++-aarch64-linux-gnu	4:14.2.0-1
gcc	4:14.2.0-1
gcc-14	14.2.0-19
gcc-14-aarch64-linux-gnu	14.2.0-19
gcc-14-base:arm64	14.2.0-19
gcc-aarch64-linux-gnu	4:14.2.0-1
gdisk	1.0.10-2+b1
genisoimage	9:1.1.11-4
gettext-base	0.23.1-2
git	1:2.47.3-0+deb13u1
git-man	1:2.47.3-0+deb13u1
grep	3.11-4+b1
groff-base	1.23.0-9
grub-cloud-arm64	0.1.1
grub-common	2.12-9+deb13u2
grub-efi-arm64-bin	2.12-9+deb13u2
grub-efi-arm64-signed	1+2.12+9+deb13u2
grub-efi-arm64-unsigned	2.12-9+deb13u2
grub2-common	2.12-9+deb13u2
gzip	1.13-1
hostname	3.25
init	1.69~deb13u1
init-system-helpers	1.69~deb13u1
initramfs-tools	0.148.4
initramfs-tools-bin	0.148.4
initramfs-tools-core	0.148.4
iproute2	6.15.0-1
iptables	1.8.11-2
iputils-ping	3:20240905-3
klibc-utils	2.0.14-1
kmod	34.2-2
less	668-1
libacl1:arm64	2.3.2-2+b1
libaio1t64:arm64	0.3.113-8+b1
libapparmor1:arm64	4.1.0-1
libapt-pkg7.0:arm64	3.0.3
libarchive13t64:arm64	3.7.4-4+deb13u1
libasan8:arm64	14.2.0-19
libatomic1:arm64	14.2.0-19
libattr1:arm64	1:2.5.2-3
libaudit-common	1:4.0.2-2
libaudit1:arm64	1:4.0.2-2+b2
libbinutils:arm64	2.44-3
libblkid1:arm64	2.41-5
