adduser	3.134
apt	2.6.1
autoconf	2.71-3
automake	1:1.16.5-1.3
autotools-dev	20220109.1
base-files	12.4+deb12u15
base-passwd	3.6.1
bash	5.2.15-2+b13
binutils	2.40-2
binutils-aarch64-linux-gnu	2.40-2
binutils-common:arm64	2.40-2
bsdutils	1:2.38.1-5+deb12u3
bzip2	1.0.8-5+b1
ca-certificates	20230311+deb12u1
clang	1:14.0-55.7~deb12u1
clang-14	1:14.0.6-12
cmake	3.25.1-1
cmake-data	3.25.1-1
comerr-dev:arm64	2.1-1.47.0-2+b2
coreutils	9.1-1
cpp	4:12.2.0-3
cpp-12	12.2.0-14+deb12u1
curl	7.88.1-10+deb12u15
dash	0.5.12-2
debconf	1.5.82
debian-archive-keyring	2023.3+deb12u2
debianutils	5.7-0.5~deb12u1
default-libmysqlclient-dev:arm64	1.1.0
diffutils	1:3.8-4
dirmngr	2.2.40-1.1+deb12u2
dpkg	1.21.23
dpkg-dev	1.21.23
e2fsprogs	1.47.0-2+b2
file	1:5.44-3
findutils	4.9.0-4
fontconfig	2.14.1-4
fontconfig-config	2.14.1-4
fonts-dejavu-core	2.37-6
g++	4:12.2.0-3
g++-12	12.2.0-14+deb12u1
gcc	4:12.2.0-3
gcc-12	12.2.0-14+deb12u1
gcc-12-base:arm64	12.2.0-14+deb12u1
gir1.2-freedesktop:arm64	1.74.0-3
gir1.2-gdkpixbuf-2.0:arm64	2.42.10+dfsg-1+deb12u4
gir1.2-glib-2.0:arm64	1.74.0-3
gir1.2-rsvg-2.0:arm64	2.54.7+dfsg-1~deb12u1
git	1:2.39.5-0+deb12u3
git-man	1:2.39.5-0+deb12u3
gnupg	2.2.40-1.1+deb12u2
gnupg-l10n	2.2.40-1.1+deb12u2
gnupg-utils	2.2.40-1.1+deb12u2
gpg	2.2.40-1.1+deb12u2
gpg-agent	2.2.40-1.1+deb12u2
gpg-wks-client	2.2.40-1.1+deb12u2
gpg-wks-server	2.2.40-1.1+deb12u2
gpgconf	2.2.40-1.1+deb12u2
gpgsm	2.2.40-1.1+deb12u2
gpgv	2.2.40-1.1+deb12u2
grep	3.8-5
gzip	1.12-1
hicolor-icon-theme	0.17-2
hostname	3.23+nmu1
icu-devtools	72.1-3+deb12u1
imagemagick	8:6.9.11.60+dfsg-1.6+deb12u13
imagemagick-6-common	8:6.9.11.60+dfsg-1.6+deb12u13
imagemagick-6.q16	8:6.9.11.60+dfsg-1.6+deb12u13
init-system-helpers	1.65.2+deb12u1
krb5-multidev:arm64	1.20.1-2+deb12u5
libacl1:arm64	2.3.1-3
libaom3:arm64	3.6.0-1+deb12u2
libapr1:arm64	1.7.2-3+deb12u1
libaprutil1:arm64	1.6.3-1
libapt-pkg6.0:arm64	2.6.1
libarchive13:arm64	3.6.2-1+deb12u5
libasan8:arm64	12.2.0-14+deb12u1
libassuan0:arm64	2.5.5-5
libatomic1:arm64	12.2.0-14+deb12u1
libattr1:arm64	1:2.5.1-4
libaudit-common	1:3.0.9-1
libaudit1:arm64	1:3.0.9-1
libbinutils:arm64	2.40-2
libblkid-dev:arm64	2.38.1-5+deb12u3
libblkid1:arm64	2.38.1-5+deb12u3
libbrotli-dev:arm64	1.0.9-2+b6
libbrotli1:arm64	1.0.9-2+b6
libbsd0:arm64	0.11.7-2
libbz2-1.0:arm64	1.0.8-5+b1
libbz2-dev:arm64	1.0.8-5+b1
libc-bin	2.36-9+deb12u14
libc-dev-bin	2.36-9+deb12u14
libc6:arm64	2.36-9+deb12u14
libc6-dev:arm64	2.36-9+deb12u14
libcairo-gobject2:arm64	1.16.0-7
libcairo-script-interpreter2:arm64	1.16.0-7
libcairo2:arm64	1.16.0-7
libcairo2-dev:arm64	1.16.0-7
libcap-ng0:arm64	0.8.3-1+b3
libcap2:arm64	1:2.66-4+deb12u3+b1
libcbor0.8:arm64	0.8.0-2+b1
libcc1-0:arm64	12.2.0-14+deb12u1
libclang-common-14-dev	1:14.0.6-12
libclang-cpp14	1:14.0.6-12
libclang1-14	1:14.0.6-12
libcom-err2:arm64	1.47.0-2+b2
libcrypt-dev:arm64	1:4.4.33-2
libcrypt1:arm64	1:4.4.33-2
libctf-nobfd0:arm64	2.40-2
libctf0:arm64	2.40-2
libcurl3-gnutls:arm64	7.88.1-10+deb12u15
libcurl4:arm64	7.88.1-10+deb12u15
libcurl4-openssl-dev:arm64	7.88.1-10+deb12u15
libdatrie1:arm64	0.2.13-2+b1
libdav1d6:arm64	1.0.0-2+deb12u1
libdb-dev:arm64	5.3.2
libdb5.3:arm64	5.3.28+dfsg2-1
libdb5.3-dev	5.3.28+dfsg2-1
libde265-0:arm64	1.0.11-1+deb12u2
libdebconfclient0:arm64	0.270
libdeflate-dev:arm64	1.14-1
libdeflate0:arm64	1.14-1
libdjvulibre-dev:arm64	3.5.28-2.2~deb12u1
libdjvulibre-text	3.5.28-2.2~deb12u1
libdjvulibre21:arm64	3.5.28-2.2~deb12u1
libdpkg-perl	1.21.23
libedit2:arm64	3.1-20221030-2
libelf1:arm64	0.188-2.1
liberror-perl	0.17029-2
libevent-2.1-7:arm64	2.1.12-stable-8
libevent-core-2.1-7:arm64	2.1.12-stable-8
libevent-dev	2.1.12-stable-8
libevent-extra-2.1-7:arm64	2.1.12-stable-8
libevent-openssl-2.1-7:arm64	2.1.12-stable-8
libevent-pthreads-2.1-7:arm64	2.1.12-stable-8
libexif-dev:arm64	0.6.24-1+deb12u1
libexif12:arm64	0.6.24-1+deb12u1
libexpat1:arm64	2.5.0-1+deb12u2
libexpat1-dev:arm64	2.5.0-1+deb12u2
libext2fs2:arm64	1.47.0-2+b2
libffi-dev:arm64	3.4.4-1
libffi8:arm64	3.4.4-1
libfftw3-double3:arm64	3.3.10-1
libfido2-1:arm64	1.12.0-2+b1
libfontconfig-dev:arm64	2.14.1-4
libfontconfig1:arm64	2.14.1-4
libfreetype-dev:arm64	2.12.1+dfsg-5+deb12u4
libfreetype6:arm64	2.12.1+dfsg-5+deb12u4
